,All,K04F10.4a.1.e1,K04F10.4a.1.e2,K04F10.4a.1.e3,K04F10.4a.1.e4,K04F10.4a.1.e5,K04F10.4a.1.e6,K04F10.4a.1.e7,K04F10.4a.1.e8,K04F10.4a.1.e9,K04F10.4a.1.e10,K04F10.4a.1.e11,K04F10.4a.1.e12,K04F10.4a.1.e13,K04F10.4a.2.e1,K04F10.4b.1.e1,K04F10.4b.1.e14,K04F10.4b.2.e1,K04F10.4c.1.e1,K04F10.4c.1.e13,K04F10.4c.1.e14,K04F10.4c.1.e15,K04F10.4c.1.e16,K04F10.4d.1.e1,K04F10.4d.1.e16,K04F10.4d.1.e17,K04F10.4d.1.e18,K04F10.4d.2.e1,K04F10.4e.1.e1,K04F10.4e.1.e12,K04F10.4f.1.e1,K04F10.4f.1.e12,K04F10.4g.1.e13,K04F10.4h.1.e1,K04F10.4h.1.e13,K04F10.4i.1.e12,K04F10.4j.1.e13,All_rpm,K04F10.4a.1.e1_rpm,K04F10.4a.1.e2_rpm,K04F10.4a.1.e3_rpm,K04F10.4a.1.e4_rpm,K04F10.4a.1.e5_rpm,K04F10.4a.1.e6_rpm,K04F10.4a.1.e7_rpm,K04F10.4a.1.e8_rpm,K04F10.4a.1.e9_rpm,K04F10.4a.1.e10_rpm,K04F10.4a.1.e11_rpm,K04F10.4a.1.e12_rpm,K04F10.4a.1.e13_rpm,K04F10.4a.2.e1_rpm,K04F10.4b.1.e1_rpm,K04F10.4b.1.e14_rpm,K04F10.4b.2.e1_rpm,K04F10.4c.1.e1_rpm,K04F10.4c.1.e13_rpm,K04F10.4c.1.e14_rpm,K04F10.4c.1.e15_rpm,K04F10.4c.1.e16_rpm,K04F10.4d.1.e1_rpm,K04F10.4d.1.e16_rpm,K04F10.4d.1.e17_rpm,K04F10.4d.1.e18_rpm,K04F10.4d.2.e1_rpm,K04F10.4e.1.e1_rpm,K04F10.4e.1.e12_rpm,K04F10.4f.1.e1_rpm,K04F10.4f.1.e12_rpm,K04F10.4g.1.e13_rpm,K04F10.4h.1.e1_rpm,K04F10.4h.1.e13_rpm,K04F10.4i.1.e12_rpm,K04F10.4j.1.e13_rpm
G2_and_W_blasts,54292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0945995726811,0,0,0,0,0,0,0,0,0,0
Parent_of_hyp3_ILsoDx,156176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.821227333265,0,0,0,0,0,0,0,0,0,0
Parent_of_exc_duct_pore_DB_1_3,46341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5791631600527,0,0,0,0,0
Glia,218711,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,9.14448747433828,0,0,4.57224373716914,0,0,0,0,4.57224373716914,0,0,0,0,73.1558997947063,0,0,0,0,0,0,0,0,0,0
pm7,256846,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,3.89338358393746,0,0,0,0,0,0,0,0,0,0,0,0,11.6801507518124,0,0,0,0,23.3603015036247,0,0,0,0,0
hmc_and_homolog,78675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1315538608198,0,0,0,0,0,0,0,0,0,0
Parent_of_g1P_I3,61859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3315928159201,0,0,0,0,0,0,0,0,0,0
Excretory_duct_and_pore,69807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.252109387311,0,0,0,0,0,0,0,0,0,0
Neuroblast_I6_M5,17281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.867021584399,0,0,0,0,0,0,0,0,0,0
M1_parent,90908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.000264003168,0,0,0,0,0
Neuroblast_ASG_AWA,129112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,7.7452134580829,0,0,0,0,0,0,0,0,0,0,0,0,7.7452134580829,0,0,0,0,0,0,0,0,0,0
Parent_of_tail_spike_and_hyp10,74897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0550088788603,0,0,0,0,13.3516696262868,0,0,0,0,0
RIC_parent,169567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5894955976104,0,0,0,0,5.8973738994026,0,0,0,0,0
Parent_of_MI_pm1DR,46055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4263380740419,0,0,0,0,0,0,0,0,0,0
DB,286621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4446394367475,0,0,0,0,0,0,0,0,0,0
DD,245001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08161599340411,0,0,0,0,20.4080799670205,0,0,0,0,0
Parent_of_K_Kprime,34260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADL,386248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58901016963195,0,0,0,0,0,0,0,0,0,20.7120813570556,0,0,0,0,2.58901016963195,0,0,0,0,0
Neuroblast_M2_M3,85675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3440326816458,0,0,0,0,0,0,0,0,0,0
g1A_parent,63483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMso_parent,58533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,17.0843797515931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0843797515931,0,0,0,0,0,0,0,0,0,0
I1_parent,71916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQ_grandparent,82553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2,227323,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,4.39902693524192,0,0,0,0,0,0,0,0,0,0,0,4.39902693524192,26.3941616114515,0,0,0,0,0,0,0,0,0,0
hmc,130227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.541285601296,0,0,0,0,15.3577983060348,0,0,0,0,0
ADL_parent,152466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55883934778902,0,0,0,0,0,0,0,0,0,0
CAN,217964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17582720082215,0,0,0,0,0,0,0,0,0,0
AVG,87503,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,11.4281796052707,0,0,0,0,0,0,0,0,0,0,0,0,22.8563592105414,0,0,0,0,11.4281796052707,0,0,0,0,0
Pharyngeal_marginal_cell,241634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27698088845113,0,0,0,0,82.7698088845113,0,0,0,0,0
PLM_ALN_grandparent,114379,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,8.74286363755585,0,0,8.74286363755585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74286363755585,0,0,0,0,0
mc1,315541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,26,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8458013380195,0,0,0,0,82.3981669577012,0,0,0,0,0
ASG_AWA,54397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3833667297829,0,0,0,0,0,0,0,0,0,0
RMED,26311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0069172589411,0,0,0,0,0,0,0,0,0,0
Intestine_anterior,1932366,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,94,0,0,0,0,16,0,0,1,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0.517500307912683,0,0,0.517500307912683,0,0,0.517500307912683,0,0,0.517500307912683,0,0,0,48.6450289437922,0,0,0,0,8.28000492660293,0,0,0.517500307912683,0,0
RIA_parent,79995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5007812988312,0,0,0,0,0,0,0,0,0,0
ASH,211293,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,4.73276445504584,0,0,0,0,0,0,0,0,0,0,0,0,28.396586730275,0,0,0,0,4.73276445504584,0,0,0,0,0
Neuroblast_HSN_PHB,92971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tail_hypodermis,647565,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,88,0,0,0,0,5,3,0,1,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,3.08849304703003,0,0,1.54424652351501,0,0,0,0,1.54424652351501,0,0,0,0,135.893694069321,0,0,0,0,7.72123261757507,4.63273957054504,0,1.54424652351501,0,0
Coelomocyte,605072,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,1.6526958775154,0,0,0,0,0,0,0,0,0,0,0,0,16.526958775154,0,0,0,0,8.26347938757702,0,0,0,0,0
ADF,109241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4622165670398,0,0,0,0,9.15407218901328,0,0,0,0,0
SIA,89182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4260500997959,0,0,0,0,0,0,0,0,0,0
SIB,51659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7154222884686,0,0,0,0,0,0,0,0,0,0
ADA_ADE_grandparent,40365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuroblast_BAG_SMDVx,48740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pm6,140824,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,7.10106231892291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5053115946146,0,0,0,0,0
hyp1_hyp2,287648,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,11,1,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,3.47647124262988,0,0,0,0,3.47647124262988,0,0,0,0,0,0,0,0,0,69.5294248525976,0,0,0,0,38.2411836689287,3.47647124262988,0,0,0,0
ASI_parent,138875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4014401440144,0,0,0,0,0,0,0,7.2007200720072,0,0
hmc_homolog,103371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.477861295721,0,0,0,0,0,0,0,0,0,0
Parent_of_PVP_and_rect_V,73577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA,296705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5924571544126,0,0,0,0,3.37035102205895,0,0,3.37035102205895,0,0
Rectal_gland,497993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,36,0,0,0,0,4,1,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01612070852402,0,0,0,0,2.00806035426201,0,0,0,0,72.2901727534323,0,0,0,0,8.03224141704803,2.00806035426201,0,0,0,0
AVK,171924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4495707405598,0,0,0,0,5.81652358018659,0,0,0,0,0
RIH,23429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RME_LR_parent,94877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5399622669351,10.5399622669351,0,0,0,0,0,0,0,0,0,0
RME,192648,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,5.19081433495287,0,0,0,0,0,0,0,0,0,0,0,0,25.9540716747643,0,0,0,0,10.3816286699057,0,0,0,0,0
mu_sph,68324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parents_of_PHsh_hyp8_hyp9,111460,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,8.97182845863987,0,0,0,0,0,0,0,0,0,0,0,0,98.6901130450386,0,0,0,0,0,0,0,0,0,0
AMso,127963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5180716300806,0,0,0,0,23.4442768612802,0,0,0,0,0
Excretory_cell_parent,132778,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,7.53136814833783,0,0,0,0,0,0,0,0,0,0,0,0,105.43915407673,0,0,0,0,7.53136814833783,0,0,0,0,0
RID,34328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1307387555348,0,0,0,0,0
IL1_parent,165505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0842270626265,0,0,0,0,0,0,0,0,0,0
AWC,175119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4208052809804,0,0,0,0,11.4208052809804,0,0,0,0,0
NSM_parent,46245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.119796734782,0,0,0,0,0
ADF_AWB,57185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9742065226895,0,0,0,0,0,0,0,0,0,0
ASJ,234338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1387226996902,0,0,0,0,4.26734033746127,0,0,0,0,0
pm1_pm2,209433,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,83,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,4.77479671302994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9731704172695,0,0,0,0,396.308127181485,0,0,0,0,0
hyp1V_and_ant_arc_V,76388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.819552809342,0,0,0,0,13.0910614232602,0,0,0,0,0
AIY,68321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6367881032186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URX,124264,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,8.04738299105131,0,0,0,0,0,0,8.04738299105131,0,0,8.04738299105131,0,0,0,0,0,0,0,0,0,8.04738299105131,0,0,0,0,0,0,0,0,0,0
Neuroblast_ALA_RMED,62093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.104874945646,0,0,0,0,0,0,0,0,0,0
ALA,67961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4286428981328,0,0,0,0,0,0,0,0,0,0
Neuroblast_IL1_IL2,75517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.242051458612,0,0,0,0,0,0,0,0,0,0
AMsh,394479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,46,0,0,0,0,58,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06997837654222,0,0,0,0,0,0,0,0,0,116.609502660471,0,0,0,0,147.029372919724,0,0,0,0,0
SMD,136387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6641542082457,0,0,0,0,14.6641542082457,0,0,0,0,0
URA_parent,12703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
